date	weekly_projects	weekly_users	monthly_projects	monthly_users
2019-10-28	46	43	109	74
2019-11-04	28	23	108	69
2019-11-11	33	30	108	71
2019-11-18	34	29	95	73
2019-11-25	36	28	83	60
2019-12-02	36	32	89	62
2019-12-09	41	34	84	61
2019-12-16	43	34	95	69
2019-12-23	37	26	92	63
2019-12-30	16	16	87	58
2020-01-06	14	13	74	50
2020-01-13	32	28	65	46
2020-01-20	40	34	65	48
2020-01-27	33	31	69	55
2020-02-03	46	39	80	61
2020-02-10	49	44	97	73
2020-02-17	57	46	114	86
2020-02-24	45	36	121	86
2020-03-02	47	40	123	85
2020-03-09	40	34	115	78
2020-03-17	41	34	96	67
2020-03-23	50	41	94	70
2020-04-01	43	39	99	74
2020-04-06	50	40	106	77
2020-04-13	31	28	104	78
2020-04-20	41	36	102	75
2020-04-27	53	43	110	79
2020-05-04	39	37	100	74
2020-05-11	37	33	100	74
2020-06-01	44	36	106	75
2020-06-08	47	39	110	78
2020-06-15	59	45	111	80
2020-06-22	41	37	108	77
2020-06-29	42	35	104	75
2020-07-06	40	37	106	79
2020-07-13	44	43	98	76
2020-07-20	59	43	121	82
2020-07-27	73	64	146	106
2020-08-03	38	36	144	109
2020-08-10	43	37	142	106
2020-08-17	73	70	164	131
2020-08-31	48	44	141	118
2020-09-14	50	40	141	116
2020-09-21	154	134	217	182
2020-09-28	51	46	217	181
2020-10-05	42	35	214	174
2020-10-30	63	57	130	97
2020-11-02	60	53	129	95
2020-11-02	62	54	130	95
2020-11-03	57	52	120	92
