date	count
2018-04-23	36
2018-04-24	21
2018-04-25	14
2018-04-26	16
2018-04-27	12
2018-04-28	5
2018-04-29	3
2018-04-30	15
2018-05-01	10
2018-05-02	9
2018-05-03	7
2018-05-04	6
2018-05-05	4
2018-05-06	0
2018-05-07	12
2018-05-08	14
2018-05-09	9
2018-05-10	15
2018-05-11	8
2018-05-12	0
2018-05-13	4
2018-05-14	15
2018-05-15	8
2018-05-16	11
2018-05-17	8
2018-05-18	8
2018-05-19	0
2018-05-20	3
2018-05-21	6
2018-05-22	5
2018-05-23	7
2018-05-24	8
2018-05-25	14
2018-05-26	16
2018-05-27	0
2018-05-28	13
2018-05-29	13
2018-05-30	7
2018-05-31	7
2018-06-01	4
2018-06-02	2
2018-06-03	3
2018-06-04	10
2018-06-05	7
2018-06-06	9
2018-06-07	5
2018-06-08	8
2018-06-09	5
2018-06-10	1
2018-06-11	3
2018-06-12	12
2018-06-13	3
2018-06-14	2
2018-06-15	5
2018-06-16	3
2018-06-17	2
2018-06-18	3
2018-06-19	7
2018-06-20	26
2018-06-21	5
2018-06-22	8
2018-06-23	2
2018-06-24	0
2018-06-25	5
2018-06-26	10
2018-06-27	6
2018-06-28	11
2018-06-29	1
2018-06-30	2
2018-07-01	1
2018-07-02	4
2018-07-03	3
2018-07-04	20
2018-07-05	23
2018-07-06	22
2018-07-07	0
2018-07-08	0
2018-07-09	25
2018-07-10	18
2018-07-11	29
2018-07-12	22
2018-07-13	17
2018-07-14	4
2018-07-15	11
2018-07-16	35
2018-07-17	45
2018-07-18	11
2018-07-19	24
2018-07-20	21
2018-07-21	8
2018-07-22	5
2018-07-23	9
2018-07-24	14
2018-07-25	19
2018-07-26	13
2018-07-27	3
2018-07-28	0
2018-07-29	2
2018-07-30	11
2018-07-31	10
2018-08-01	8
2018-08-02	10
2018-08-03	10
2018-08-04	2
2018-08-05	1
2018-08-06	6
2018-08-07	13
2018-08-08	8
2018-08-09	5
2018-08-10	7
2018-08-11	3
2018-08-12	0
2018-08-13	3
2018-08-14	8
2018-08-15	6
2018-08-16	9
2018-08-17	10
2018-08-18	3
2018-08-19	2
2018-08-20	12
2018-08-21	4
2018-08-22	5
2018-08-23	3
2018-08-24	4
2018-08-25	1
2018-08-26	2
2018-08-27	8
2018-08-28	10
2018-08-29	12
2018-08-30	11
2018-08-31	0
2018-09-01	2
2018-09-02	1
2018-09-03	3
2018-09-04	4
2018-09-05	12
2018-09-06	5
2018-09-07	8
2018-09-08	13
2018-09-09	7
2018-09-10	4
2018-09-11	5
2018-09-12	14
2018-09-13	16
2018-09-14	17
2018-09-15	11
2018-09-16	12
2018-09-17	11
2018-09-18	12
2018-09-19	25
2018-09-20	20
2018-09-21	36
2018-09-22	7
2018-09-23	7
2018-09-24	12
2018-09-25	11
2018-09-26	21
2018-09-27	15
2018-09-28	16
2018-09-29	3
2018-09-30	5
2018-10-01	18
2018-10-02	15
2018-10-03	18
2018-10-04	6
2018-10-05	7
2018-10-06	9
2018-10-07	9
2018-10-08	14
2018-10-09	7
2018-10-10	12
2018-10-11	10
2018-10-12	13
2018-10-13	7
2018-10-14	4
2018-10-15	9
2018-10-16	7
2018-10-17	12
2018-10-18	13
2018-10-19	12
2018-10-20	3
2018-10-21	0
2018-10-22	11
2018-10-23	4
2018-10-24	10
2018-10-25	4
2018-10-26	8
2018-10-27	3
2018-10-28	2
2018-10-29	19
2018-10-30	11
2018-10-31	11
2018-11-01	11
2018-11-02	4
2018-11-03	2
2018-11-04	5
2018-11-05	9
2018-11-06	7
2018-11-07	14
2018-11-08	12
2018-11-09	15
2018-11-10	6
2018-11-11	6
2018-11-12	13
2018-11-13	14
2018-11-14	13
2018-11-15	9
2018-11-16	5
2018-11-17	7
2018-11-18	9
2018-11-19	12
2018-11-20	4
2018-11-21	17
2018-11-22	7
2018-11-23	5
2018-11-24	6
2018-11-25	5
2018-11-26	11
2018-11-27	18
2018-11-28	8
2018-11-29	6
2018-11-30	8
2018-12-01	5
2018-12-02	7
2018-12-03	11
2018-12-04	4
2018-12-05	15
2018-12-06	9
2018-12-07	13
2018-12-08	4
2018-12-09	3
2018-12-10	7
2018-12-11	5
2018-12-12	12
2018-12-13	16
2018-12-14	3
2018-12-15	12
2018-12-16	3
2018-12-17	3
2018-12-18	9
2018-12-19	16
2018-12-20	8
2018-12-21	12
2018-12-22	3
2018-12-23	8
2018-12-24	1
2018-12-25	5
2018-12-26	4
2018-12-27	10
2018-12-28	8
2018-12-29	6
2018-12-30	2
2018-12-31	14
2019-01-01	2
2019-01-02	12
2019-01-03	8
2019-01-04	4
2019-01-05	7
2019-01-06	7
2019-01-07	11
2019-01-08	22
2019-01-09	20
2019-01-10	8
2019-01-11	11
2019-01-12	7
2019-01-13	6
2019-01-14	16
2019-01-15	14
2019-01-16	16
2019-01-17	5
2019-01-18	10
2019-01-19	12
2019-01-20	11
2019-01-21	10
2019-01-22	12
