date	count	uniques
2018-10-31	1	1
2018-11-05	2	2
2018-11-14	1	1
2018-11-16	16	8
2018-11-17	8	6
2018-11-20	17	9
2018-11-22	8	5
2018-12-07	1	1
2018-12-11	8	7
2018-12-14	2	2
2018-12-16	1	1
2018-12-19	8	6
2018-12-24	1	1
2018-12-27	1	1
2019-01-04	1	1
2019-01-06	1	1
2019-01-08	26	10
2019-01-09	25	14
2019-01-11	20	10
2019-01-14	1	1
2019-01-15	14	8
2019-01-16	17	12
2019-01-17	32	15
2019-01-18	16	12
2019-01-22	9	8
2019-01-23	16	9
2019-01-24	16	10
2019-01-25	1	1
2019-01-29	8	6
2019-02-01	16	9
2019-02-04	8	7
2019-02-05	25	13
2019-02-06	31	13
2019-02-07	35	17
2019-02-08	57	16
2019-02-11	24	9
2019-02-12	24	11
2019-02-13	55	19
2019-02-14	73	23
2019-02-17	1	1
2019-02-19	31	17
2019-02-20	12	9
2019-02-21	9	8
2019-02-22	1	1
2019-02-23	1	1
2019-03-01	1	1
2019-03-05	1	1
2019-03-07	1	1
2019-03-09	31	15
2019-03-10	50	20
2019-03-11	1	1
2019-03-12	11	10
2019-03-18	19	10
2019-03-19	1	1
2019-03-20	1	1
2019-03-23	1	1
2019-03-25	36	16
2019-03-26	11	8
2019-03-27	22	10
2019-03-28	2	1
2019-03-29	1	1
2019-04-01	29	14
2019-04-02	2	2
2019-04-04	42	17
2019-04-05	56	18
2019-04-06	1	1
2019-04-07	1	1
2019-04-08	41	15
2019-04-09	48	19
2019-04-10	10	8
2019-04-11	60	19
2019-04-12	75	20
2019-04-13	9	8
2019-04-14	10	6
2019-04-15	46	17
2019-04-17	1	1
2019-04-23	1	1
2019-04-29	1	1
2019-04-30	1	1
2019-05-06	19	14
2019-05-07	15	12
2019-05-08	78	3
2019-05-09	36	9
2019-05-10	30	5
2019-05-11	1	1
2019-05-13	43	6
2019-05-14	5	2
2019-05-15	39	4
2019-05-16	65	7
2019-05-17	13	4
2019-05-18	4	1
2019-05-19	3	1
2019-05-20	31	6
2019-05-21	22	5
2019-05-22	52	6
2019-05-23	12	4
2019-05-24	10	3
2019-05-25	1	1
2019-05-26	1	1
2019-05-27	2	1
2019-05-29	10	3
2019-05-30	1	1
2019-05-31	2	1
2019-06-01	3	1
2019-06-02	2	1
2019-06-03	1	1
2019-06-04	12	4
2019-06-05	3	3
2019-06-06	2	2
2019-06-07	28	4
2019-06-08	2	2
2019-06-11	1	1
2019-06-12	1	1
2019-06-18	1	1
2019-06-19	1	1
2019-06-22	1	1
2019-06-24	1	1
2019-06-25	11	4
2019-06-26	1	1
2019-06-29	1	1
2019-07-02	15	5
2019-07-06	1	1
2019-07-09	2	1
2019-07-10	1	1
2019-07-14	1	1
2019-07-15	9	3
2019-07-16	1	1
2019-07-18	11	4
2019-07-19	12	4
2019-07-21	1	1
2019-07-24	11	11
2019-07-25	1	1
2019-07-29	1	1
2019-07-31	19	6
2019-08-01	13	7
2019-08-02	11	5
2019-08-05	10	4
2019-08-06	59	11
2019-08-07	42	10
2019-08-09	2	2
2019-08-11	1	1
2019-08-12	1	1
2019-08-14	1	1
2019-08-19	2	2
2019-08-22	1	1
2019-08-23	11	5
2019-08-26	2	2
2019-08-29	1	1
2019-09-02	1	1
2019-09-04	26	6
2019-09-05	16	1
2019-09-06	1	1
2019-09-09	1	1
2019-09-11	19	5
2019-09-12	2	2
2019-09-16	1	1
2019-09-17	1	1
2019-09-20	1	1
2019-09-23	1	1
2019-09-24	1	1
2019-09-26	2	2
2019-09-27	24	4
2019-09-30	1	1
2019-10-01	25	8
2019-10-02	16	16
2019-10-03	17	12
2019-10-04	38	15
2019-10-07	42	11
2019-10-08	30	12
2019-10-09	34	13
2019-10-10	18	6
2019-10-11	4	1
2019-10-14	5	3
2019-10-15	8	5
2019-10-16	9	7
2019-10-17	42	31
2019-10-18	40	23
2019-10-21	10	8
2019-10-22	25	10
2019-10-23	21	6
2019-10-24	32	8
2019-10-25	1	1
2019-10-26	21	9
2019-10-28	22	16
2019-10-30	26	12
2019-10-31	11	9
2019-11-01	13	7
2019-11-04	16	6
2019-11-05	8	6
2019-11-06	11	5
2019-11-07	25	8
2019-11-08	34	12
2019-11-09	1	1
2019-11-11	9	9
2019-11-14	2	2
2019-11-15	10	4
2019-11-18	36	9
2019-11-20	7	5
2019-11-22	10	8
2019-11-24	1	1
2019-11-25	13	4
2019-11-27	2	2
2019-11-29	7	5
2019-12-02	11	5
2019-12-03	9	6
2019-12-04	7	5
2019-12-09	6	4
2019-12-10	11	4
2019-12-11	25	9
2019-12-13	8	5
2019-12-14	5	3
2019-12-16	19	17
2019-12-17	32	17
2019-12-18	23	7
2019-12-19	56	21
2019-12-23	10	10
2019-12-28	1	1
2019-12-30	10	10
2020-01-01	1	1
2020-01-02	1	1
2020-01-03	16	8
2020-01-06	10	10
