date	user	repo	forks	stars	open_issues	commits_total	commits_last	commits_first	commits_authors	commits_publish	files_rmd	files_total
2014-03-19	stephenslab	smash-paper	0	3	0	380	2018-12-21	2014-03-19	5	5	9	1466
2015-06-14	stephens999	fiveMinuteStats	38	95	9	313	2019-01-23	2015-06-14	14	36	56	297
2015-10-14	stephenslab	gtexresults	5	9	1	638	2019-01-28	2015-10-14	6	2	17	194
2015-12-15	stephens999	hgen48600	6	1	0	107	2018-01-09	2015-12-12	8	2	7	160
2015-12-30	timtrice	ncdc_storm_events	0	0	1	212	2018-11-25	2015-12-30	2	0	3	27
2016-04-06	xiangzhu	rss-gsea	1	4	1	420	2018-12-26	2016-04-06	3	77	41	429
2016-04-22	liu-genomics	Tiao_Seq	0	0	4	93	2018-07-29	2016-04-22	4	0	NA	579
2016-07-23	YubinXie	Life	0	0	0	2	2017-01-15	2017-01-15	1	0	3	103
2016-09-11	kkdey	ecostructure	1	3	2	79	2018-06-17	2016-09-11	3	0	1	179
2016-10-28	jdblischak	fucci-seq	3	2	2	724	2018-10-30	2016-10-28	6	157	71	1349
2016-11-17	dcgerard	updog_sims	0	0	0	73	2017-08-14	2016-11-17	2	0	NA	947
2016-11-17	stephenslab	fast-ash.orig	0	0	2	106	2017-01-11	2015-12-12	4	0	13	192
2016-12-05	liu-genomics	ASD	0	0	0	58	2017-06-28	2016-12-05	1	0	NA	1304
2017-01-06	brimittleman	cell-cycle	0	0	0	220	2017-04-01	2017-01-06	5	95	35	526
2017-01-06	brimittleman	my-first-project-	0	0	0	3	2017-01-06	2017-01-06	1	1	4	102
2017-01-09	pzross	CompBio	0	0	0	11	2017-04-24	2017-01-09	3	0	13	226
2017-01-09	pzross	EvoBioMol	0	0	0	8	2017-02-02	2017-01-09	2	0	6	92
2017-01-11	stephenslab	fast-ash	1	4	0	22	2017-01-24	2017-01-11	4	2	13	132
2017-01-12	dcgerard	ruvb_plus_ash	0	0	0	73	2017-06-22	2017-01-12	1	0	46	510
2017-01-14	YubinXie	test	0	0	0	2	2017-01-14	2017-01-14	1	1	3	99
2017-01-17	annakrystalli	ACCE_RDM	1	1	0	84	2018-04-30	2017-01-17	3	0	5	1163
2017-01-19	kevinlkx	workflow_test	0	0	0	3	2017-01-19	2017-01-19	1	1	4	102
2017-01-20	NKweiwang	flash_workflow	1	1	0	349	2018-02-11	2017-01-20	3	153	41	432
2017-01-21	NKweiwang	logisticFlash_workflow	0	0	0	123	2017-05-05	2017-01-20	1	60	27	458
2017-01-22	NKweiwang	TDS_study1	0	0	0	38	2017-11-01	2017-01-21	1	5	7	238
2017-01-29	LSun	truncash	1	1	0	682	2018-12-15	2017-01-29	2	169	118	1086
2017-02-05	simecek	TheAgingProteome	2	4	0	60	2017-04-07	2017-02-05	1	4	NA	258
2017-02-06	jdblischak	workflowr-demo-archive	0	0	0	14	2017-02-08	2017-02-06	1	6	4	112
2017-02-06	jhsiao999	singleCell-workflow	0	1	0	25	2017-02-15	2017-02-06	1	13	10	118
2017-02-15	jean997	rccSims	0	1	0	34	2018-04-26	2017-02-15	1	5	6	182
2017-02-21	stephens999	singlecell-ideas	0	0	0	5	2017-02-21	2017-02-21	1	2	4	100
2017-02-25	ameilij	trmpred	0	0	9	63	2017-12-25	2017-02-25	3	0	4	64
2017-02-26	stephens999	dscr-normalmeans	0	0	0	15	2018-10-24	2017-02-07	1	5	4	133
2017-02-27	stephenslab	ebayesthresh2	0	0	0	12	2017-05-16	2017-02-27	2	5	4	107
2017-03-01	dcgerard	voom_sva	0	0	0	6	2017-03-10	2017-02-27	1	0	7	171
2017-03-02	kevinlkx	chrom_cluster_workflow	0	0	0	47	2017-03-07	2017-03-02	1	23	8	186
2017-03-02	kevinlkx	workflows_test	0	0	0	3	2017-03-02	2017-03-02	1	1	4	102
2017-03-03	stephenslab	gtex-zcorr	0	0	0	14	2017-03-06	2017-03-01	1	4	5	113
