date	user	repo	forks	stars	open_issues	last_update	last_push
2014-03-19	stephenslab	smash-paper	1	3	0	2020-06-26	2020-06-26
2015-06-14	stephens999	fiveMinuteStats	63	195	12	2020-11-03	2020-09-23
2015-09-28	stephenslab	rss	10	35	1	2020-07-18	2020-06-25
2015-10-14	stephenslab	gtexresults	7	14	0	2020-06-28	2020-06-28
2015-12-15	stephens999	hgen48600	10	1	0	2018-03-19	2018-01-09
2015-12-30	timtrice	ncdc_storm_events	0	0	1	2019-03-12	2019-07-09
2016-01-30	stephens999	poisson	1	0	2	2019-11-05	2020-02-25
2016-04-06	xiangzhu	rss-gsea	0	4	1	2020-03-15	2019-03-28
2016-07-23	YubinXie	Life	0	0	0	2017-01-16	2017-01-16
2016-10-28	jdblischak	fucci-seq	4	6	2	2020-10-03	2020-10-03
2016-11-17	dcgerard	updog_sims	0	0	0	2017-06-15	2017-08-14
2016-11-17	stephenslab	fast-ash.orig	0	0	2	2017-01-11	2017-01-11
2016-11-22	pcarbo	pcarbo	0	2	0	2020-10-15	2020-10-15
2017-01-06	brimittleman	cell-cycle	0	0	0	2017-03-06	2017-04-01
2017-01-06	brimittleman	my-first-project-	0	0	0	2017-01-06	2017-01-06
2017-01-09	pzross	CompBio	0	0	0	2017-04-14	2017-04-25
2017-01-09	pzross	EvoBioMol	0	0	0	2017-01-09	2017-02-02
2017-01-11	stephenslab	fast-ash	1	4	0	2018-04-14	2017-01-24
2017-01-12	dcgerard	ruvb_plus_ash	0	0	0	2017-01-12	2017-06-22
2017-01-12	YubinXie	Genomics-Box	0	0	0	2019-02-07	2019-02-07
2017-01-14	YubinXie	test	0	0	0	2017-01-14	2017-01-14
2017-01-17	annakrystalli	ACCE_RDM	1	1	0	2019-04-09	2018-04-30
2017-01-20	NKweiwang	flash_workflow	1	2	0	2019-04-30	2018-02-11
2017-01-21	NKweiwang	logisticFlash_workflow	0	0	0	2017-03-07	2017-05-05
2017-01-22	NKweiwang	TDS_study1	0	0	0	2017-06-16	2017-11-02
2017-01-29	LSun	truncash	1	1	0	2018-12-15	2018-12-15
2017-02-05	simecek	TheAgingProteome	2	5	0	2019-10-09	2017-04-07
2017-02-06	jdblischak	workflowr-demo-archive	0	0	0	2017-02-06	2017-02-08
2017-02-06	jhsiao999	singleCell-workflow	0	1	0	2017-02-16	2017-02-16
2017-02-15	jean997	rccSims	0	1	0	2018-04-26	2018-04-26
2017-02-21	stephens999	singlecell-ideas	0	0	0	2017-02-21	2017-02-21
2017-02-25	ameilij	trmpred	0	0	9	2017-12-23	2017-12-26
2017-02-26	stephens999	dscr-normalmeans	0	0	0	2018-10-24	2018-10-24
2017-02-27	stephenslab	ebayesthresh2	0	0	0	2017-05-17	2017-05-17
2017-03-01	dcgerard	voom_sva	0	0	0	2017-03-01	2017-03-10
2017-03-02	kevinlkx	chrom_cluster_workflow	0	0	0	2017-03-02	2017-03-07
2017-03-03	stephenslab	gtex-zcorr	0	1	0	2019-02-21	2017-03-07
2017-03-07	stephenslab	confounding-polygenic	0	0	0	2017-03-07	2017-03-15
2017-03-08	simecek	High-Resolution-Mapping-of-Reference-Populations	0	0	0	2017-03-08	2017-03-14
2017-03-09	CreRecombinase	eqtl_estimation	0	0	0	2017-03-09	2017-07-10
2017-03-12	LSun	BayeS	1	1	0	2017-06-04	2017-05-31
2017-03-14	stephens999	workflowr-talks	0	0	0	2017-03-14	2017-03-14
2017-03-21	dcgerard	gaussian_mixtures	0	0	0	2017-03-21	2017-03-24
2017-03-23	dleelab	iasvaExamples	2	2	1	2018-08-28	2018-08-28
2017-03-28	CreRecombinase	DeepVariantAnnotation	0	0	0	2017-03-28	2017-05-02
2017-03-28	han16	rare-var-project	0	0	0	2020-10-30	2020-10-30
2017-03-31	han16	JumpSeq-project	1	0	0	2019-02-09	2019-02-09
2017-04-06	kkdey	aRchaic	3	16	5	2019-02-13	2019-02-13
2017-04-14	stephens999	misc	2	3	0	2020-10-26	2020-10-26
2017-04-20	mengyin	bulk_single	0	0	0	2017-04-20	2017-04-21
2017-04-21	docmanny	Data-In-Motion	0	1	0	2018-09-27	2017-05-04
2017-05-07	han16	Bioinformatics	0	0	0	2020-10-02	2020-10-02
