date	packages	downloads	rank	percentile	total.downloads	total.packages
2019-10-23	workflowr	23	10186	41.3	5097912	17350
2019-10-30	workflowr	16	6239	64.1	4695790	17396
2019-11-06	workflowr	43	2848	83.7	4738549	17454
2019-11-13	workflowr	38	3474	80.1	4799016	17477
2019-11-20	workflowr	47	3010	82.8	4857083	17505
2019-11-27	workflowr	34	4285	75.6	5659523	17526
2019-12-04	workflowr	33	6486	63.1	5148298	17567
2019-12-11	workflowr	39	4966	71.8	4871990	17583
2019-12-18	workflowr	30	3457	80.4	4213463	17662
2019-12-25	workflowr	29	6315	64.3	2320160	17691
2020-01-01	workflowr	31	6414	63.7	2254532	17696
2020-01-08	workflowr	55	4953	72	4951253	17708
2020-01-15	workflowr	31	7505	57.7	5069467	17767
2020-01-22	workflowr	37	5687	68	5158605	17796
2020-01-29	workflowr	50	5418	69.6	5489246	17826
2020-02-05	workflowr	71	2386	86.6	5123793	17856
2020-02-12	workflowr	35	4877	72.7	5424212	17899
2020-02-19	workflowr	37	5557	69	5614296	17918
2020-02-26	workflowr	47	3675	79.5	5408221	17973
2020-03-04	workflowr	47	4330	76	5616681	18038
2020-03-11	workflowr	61	2491	86.2	5531974	18083
2020-03-18	workflowr	41	2687	85.2	5826749	18121
2020-03-25	workflowr	54	2818	84.5	5789950	18240
2020-03-25	workflowr	54	2818	84.5	5789950	18240
2020-04-01	workflowr	58	2967	83.8	6096415	18309
2020-04-08	workflowr	51	4058	77.9	6137841	18356
2020-04-15	workflowr	68	3086	83.2	6261711	18386
2020-04-22	workflowr	56	4309	76.6	6423336	18397
2020-04-29	workflowr	63	4097	77.8	7237772	18447
2020-05-06	workflowr	101	2297	87.6	7159779	18493
2020-05-27	workflowr	48	4133	77.8	5669883	18626
2020-06-03	workflowr	46	4023	78.4	6015444	18670
2020-06-10	workflowr	65	3186	83	5973152	18742
2020-06-17	workflowr	32	6156	67.2	5593125	18788
2020-06-24	workflowr	40	5216	72.3	5376467	18821
2020-07-01	workflowr	37	4122	78.2	5125817	18952
2020-07-08	workflowr	52	3684	80.6	5304883	19014
2020-07-15	workflowr	62	2934	84.6	4993096	19035
2020-07-22	workflowr	41	4665	75.5	5252399	19054
2020-07-29	workflowr	37	4160	78.2	4971008	19083
2020-08-05	workflowr	42	4782	75	5351397	19124
2020-08-12	workflowr	42	4473	76.6	5202837	19156
2020-08-26	workflowr	41	4316	77.5	5441335	19228
2020-09-09	workflowr	69	3036	84.3	6458846	19313
2020-09-16	workflowr	56	2838	85.3	5988300	19365
2020-09-23	workflowr	46	4609	76.3	6663255	19438
2020-09-30	workflowr	26	9142	51.8	6325594	18978
2020-10-28	workflowr	35	4784	75.6	5923879	19636
2020-10-28	workflowr	35	4784	75.6	5923879	19636
2020-10-28	workflowr	35	4784	75.6	5923879	19636
2020-10-28	workflowr	35	4784	75.6	5923879	19636
2020-11-04	workflowr	25	4285	78.2	5690904	19695
2020-11-11	workflowr	48	4769	75.9	6154915	19776
2020-11-18	workflowr	66	3335	83.2	6223759	19822
2020-11-25	workflowr	33	7063	64	4864805	19645
2020-12-02	workflowr	47	4286	78.5	5758003	19956
2020-12-09	workflowr	41	5123	74.4	5335360	20010
2020-12-16	workflowr	62	3929	80.4	5513657	20049
2020-12-23	workflowr	49	3491	82.6	3893585	20076
2020-12-30	workflowr	34	5208	74	3569348	20077
2021-01-06	workflowr	39	4930	75.5	4788543	20090
2021-01-13	workflowr	35	5865	70.9	5451695	20146
2021-01-20	workflowr	28	6179	69.4	5622942	20217
2021-01-27	workflowr	44	4072	79.9	5680901	20293
2021-02-10	workflowr	59	3413	83.3	5713605	20383
2021-02-17	workflowr	35	6290	69.3	5829307	20480
2021-02-24	workflowr	71	3623	82.3	6097582	20533
2021-03-03	workflowr	55	4063	80.3	6320722	20588
2021-03-10	workflowr	41	6027	70.8	6566022	20643
2021-03-17	workflowr	35	5645	72.7	6490605	20695
2021-03-24	workflowr	49	4297	79.3	6060251	20754
2021-04-21	workflowr	30	4709	77.5	6243584	20916
2022-12-07	workflowr	31	3383	83.3407199487861	6751217	20307
2022-12-07	workflowr	31	3383	83.3407199487861	6751217	20307
2022-12-14	workflowr	18	4182	80.5276381909548	6073231	21492
2022-12-21	workflowr	18	5423	72.87	5017734	20000
2022-12-28	workflowr	9	7120	64.011113917656	3583965	19795
2023-01-04	workflowr	14	5644	74.0475205662025	5112865	21759
2023-01-11	workflowr	50	2471	87.491777564135	6277856	19763
2023-01-18	workflowr	31	5556	77.4017733669568	7182248	24586
2023-01-25	workflowr	20	4007	79.5300127713921	6362151	19575
2023-02-01	workflowr	25	4066	79.7733260426505	6686417	20117
2023-02-08	workflowr	19	5152	75.5673473255318	6966718	21107
2023-02-15	workflowr	53	2972	86.8116263589971	7045352	22535
2023-02-22	workflowr	21	5019	78.1927135351079	7140889	23029
2023-03-01	workflowr	84	2195	88.9292379079034	7453461	19827
2023-03-08	workflowr	30	3341	83.5328898743533	7074980	20295
2023-03-15	workflowr	32	6103	75.5046350174566	7783643	24919
2023-03-22	workflowr	45	4101	83.5749759692406	7770875	24968
2023-03-29	workflowr	42	4087	83.6519235383508	7546827	25006
2023-04-05	workflowr	18	6072	74.025141097999	6841846	23388
2023-04-12	workflowr	35	5277	78.9551345962114	7771398	25075
2023-04-19	workflowr	46	6224	75.2130285896313	7844494	25114
2023-04-26	workflowr	41	5097	79.7312875144095	8094859	25157
2023-05-03	workflowr	39	4282	82.9992458222522	7436088	25193
2023-05-10	workflowr	40	5234	79.2714313997228	7420787	25255
2023-05-17	workflowr	39	4508	82.1689795595619	7555950	25293
2023-05-24	workflowr	41	4975	80.352068203347	7526774	25336
2023-05-31	workflowr	11	8760	62.5624813090101	7157638	23407
2023-06-07	workflowr	14	4224	72.3077931441306	6652861	15257
2023-06-14	workflowr	23	3630	81.8649485565878	6879796	20022
2023-06-21	workflowr	28	4611	81.9140594369952	6460117	25506
2023-06-28	workflowr	45	4470	82.4927558931788	6151570	25538
2023-07-05	workflowr	44	3988	84.4084760340918	6059121	25578
2023-07-12	workflowr	60	3342	86.9490532890884	6253961	25615
2023-07-19	workflowr	33	4579	82.1544097587591	6127358	25659
2023-07-26	workflowr	52	4260	83.3976081960189	5956216	25671
2023-08-02	workflowr	43	2976	85.9952015806558	5373863	21257
2023-08-09	workflowr	45	4321	83.1692032229185	5802901	25691
2023-08-16	workflowr	33	4143	83.9047877917136	5582334	25753
2023-08-23	workflowr	123	1829	92.9102742910274	6414563	25812
2023-08-30	workflowr	48	4048	84.332224885933	6649971	25862
2023-09-06	workflowr	58	2882	88.8721630384437	7193467	25908
2023-09-13	workflowr	31	3400	85.1858306827589	7214946	22951
2023-09-20	workflowr	22	4022	80.3554861077201	7488088	20479
2023-09-27	workflowr	55	3441	86.7732390577566	7187818	26023
2023-10-04	workflowr	36	3873	85.1320233343568	7073737	26056
2023-10-11	workflowr	22	4767	80.1432915399675	7396036	24007
